sobreviveu,classe,sexo,idade,irmaos_conjuges,pais_filhos,tarifa,porto embarque,classe_categoria,tipo_pessoa,homem_adulto,deck,cidade_embarque,sobreviveu_categorica,viajava_so
0,3,masculino,22.0,1,0,7.25,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
1,1,feminino,38.0,1,0,71.2833,C,Primeira,mulher,FALSO,C,Cherbourg,sim,FALSO
1,3,feminino,26.0,0,0,7925,S,Terceira,mulher,FALSO,,Southampton,sim,VERDADEIRO
1,1,feminino,35.0,1,0,53.1,S,Primeira,mulher,FALSO,C,Southampton,sim,FALSO
0,3,masculino,35.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,0,0,8.4583,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,VERDADEIRO
0,1,masculino,54.0,0,0,51.8625,S,Primeira,homem,VERDADEIRO,E,Southampton,nao,VERDADEIRO
0,3,masculino,2.0,3,1,21075,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
1,3,feminino,27.0,0,2,11.1333,S,Terceira,mulher,FALSO,,Southampton,sim,FALSO
1,2,feminino,14.0,1,0,30.0708,C,Segunda,criança,FALSO,,Cherbourg,sim,FALSO
1,3,feminino,4.0,1,1,16.7,S,Terceira,criança,FALSO,G,Southampton,sim,FALSO
1,1,feminino,58.0,0,0,26.55,S,Primeira,mulher,FALSO,C,Southampton,sim,VERDADEIRO
0,3,masculino,20.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,39.0,1,5,31275,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,feminino,14.0,0,0,7.8542,S,Terceira,criança,FALSO,,Southampton,nao,VERDADEIRO
1,2,feminino,55.0,0,0,16.0,S,Segunda,mulher,FALSO,,Southampton,sim,VERDADEIRO
0,3,masculino,2.0,4,1,29125,Q,Terceira,criança,FALSO,,Queenstown,nao,FALSO
1,2,masculino,,0,0,13.0,S,Segunda,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
0,3,feminino,31.0,1,0,18.0,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
1,3,feminino,,0,0,7225,C,Terceira,mulher,FALSO,,Cherbourg,sim,VERDADEIRO
0,2,masculino,35.0,0,0,26.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,2,masculino,34.0,0,0,13.0,S,Segunda,homem,VERDADEIRO,D,Southampton,sim,VERDADEIRO
1,3,feminino,15.0,0,0,8.0292,Q,Terceira,criança,FALSO,,Queenstown,sim,VERDADEIRO
1,1,masculino,28.0,0,0,35.5,S,Primeira,homem,VERDADEIRO,A,Southampton,sim,VERDADEIRO
0,3,feminino,8.0,3,1,21075,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
1,3,feminino,38.0,1,5,31.3875,S,Terceira,mulher,FALSO,,Southampton,sim,FALSO
0,3,masculino,,0,0,7225,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
0,1,masculino,19.0,3,2,263.0,S,Primeira,homem,VERDADEIRO,C,Southampton,nao,FALSO
1,3,feminino,,0,0,7.8792,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
0,3,masculino,,0,0,7.8958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,40.0,0,0,27.7208,C,Primeira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
1,1,feminino,,1,0,146.5208,C,Primeira,mulher,FALSO,B,Cherbourg,sim,FALSO
1,3,feminino,,0,0,7.75,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
0,2,masculino,66.0,0,0,10.5,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,28.0,1,0,82.1708,C,Primeira,homem,VERDADEIRO,,Cherbourg,nao,FALSO
0,1,masculino,42.0,1,0,52.0,S,Primeira,homem,VERDADEIRO,,Southampton,nao,FALSO
1,3,masculino,,0,0,7.2292,C,Terceira,homem,VERDADEIRO,,Cherbourg,sim,VERDADEIRO
0,3,masculino,21.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,feminino,18.0,2,0,18.0,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
1,3,feminino,14.0,1,0,11.2417,C,Terceira,criança,FALSO,,Cherbourg,sim,FALSO
0,3,feminino,40.0,1,0,9475,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
0,2,feminino,27.0,1,0,21.0,S,Segunda,mulher,FALSO,,Southampton,nao,FALSO
0,3,masculino,,0,0,7.8958,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
1,2,feminino,3.0,1,2,41.5792,C,Segunda,criança,FALSO,,Cherbourg,sim,FALSO
1,3,feminino,19.0,0,0,7.8792,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
0,3,masculino,,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,1,0,15.5,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,FALSO
1,3,feminino,,0,0,7.75,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
0,3,masculino,,2,0,21.6792,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,FALSO
0,3,feminino,18.0,1,0,17.8,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
0,3,masculino,7.0,4,1,39.6875,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
0,3,masculino,21.0,0,0,7.8,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,1,feminino,49.0,1,0,76.7292,C,Primeira,mulher,FALSO,D,Cherbourg,sim,FALSO
1,2,feminino,29.0,1,0,26.0,S,Segunda,mulher,FALSO,,Southampton,sim,FALSO
0,1,masculino,65.0,0,1,61.9792,C,Primeira,homem,VERDADEIRO,B,Cherbourg,nao,FALSO
1,1,masculino,,0,0,35.5,S,Primeira,homem,VERDADEIRO,C,Southampton,sim,VERDADEIRO
1,2,feminino,21.0,0,0,10.5,S,Segunda,mulher,FALSO,,Southampton,sim,VERDADEIRO
0,3,masculino,28.5,0,0,7.2292,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
1,2,feminino,5.0,1,2,27.75,S,Segunda,criança,FALSO,,Southampton,sim,FALSO
0,3,masculino,11.0,5,2,46.9,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
0,3,masculino,22.0,0,0,7.2292,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
1,1,feminino,38.0,0,0,80.0,,Primeira,mulher,FALSO,B,,sim,VERDADEIRO
0,1,masculino,45.0,1,0,83475,S,Primeira,homem,VERDADEIRO,C,Southampton,nao,FALSO
0,3,masculino,4.0,3,2,27.9,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
0,1,masculino,,0,0,27.7208,C,Primeira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
1,3,masculino,,1,1,15.2458,C,Terceira,homem,VERDADEIRO,,Cherbourg,sim,FALSO
1,2,feminino,29.0,0,0,10.5,S,Segunda,mulher,FALSO,F,Southampton,sim,VERDADEIRO
0,3,masculino,19.0,0,0,8.1583,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,3,feminino,17.0,4,2,7925,S,Terceira,mulher,FALSO,,Southampton,sim,FALSO
0,3,masculino,26.0,2,0,8.6625,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,2,masculino,32.0,0,0,10.5,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,feminino,16.0,5,2,46.9,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
0,2,masculino,21.0,0,0,73.5,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,26.0,1,0,14.4542,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,FALSO
1,3,masculino,32.0,0,0,56.4958,S,Terceira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
0,3,masculino,25.0,0,0,7.65,S,Terceira,homem,VERDADEIRO,F,Southampton,nao,VERDADEIRO
0,3,masculino,,0,0,7.8958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,2,masculino,0.83,0,2,29.0,S,Segunda,criança,FALSO,,Southampton,sim,FALSO
1,3,feminino,30.0,0,0,12475,S,Terceira,mulher,FALSO,,Southampton,sim,VERDADEIRO
0,3,masculino,22.0,0,0,9.0,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,3,masculino,29.0,0,0,9.5,S,Terceira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
1,3,feminino,,0,0,7.7875,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
0,1,masculino,28.0,0,0,47.1,S,Primeira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,2,feminino,17.0,0,0,10.5,S,Segunda,mulher,FALSO,,Southampton,sim,VERDADEIRO
1,3,feminino,33.0,3,0,15.85,S,Terceira,mulher,FALSO,,Southampton,sim,FALSO
0,3,masculino,16.0,1,3,34375,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,1,feminino,23.0,3,2,263.0,S,Primeira,mulher,FALSO,C,Southampton,sim,FALSO
0,3,masculino,24.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,29.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,20.0,0,0,7.8542,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,46.0,1,0,61175,S,Primeira,homem,VERDADEIRO,E,Southampton,nao,FALSO
0,3,masculino,26.0,1,2,20575,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,59.0,0,0,7.25,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,71.0,0,0,34.6542,C,Primeira,homem,VERDADEIRO,A,Cherbourg,nao,VERDADEIRO
1,1,masculino,23.0,0,1,63.3583,C,Primeira,homem,VERDADEIRO,D,Cherbourg,sim,FALSO
1,2,feminino,34.0,0,1,23.0,S,Segunda,mulher,FALSO,,Southampton,sim,FALSO
0,2,masculino,34.0,1,0,26.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,feminino,28.0,0,0,7.8958,S,Terceira,mulher,FALSO,,Southampton,nao,VERDADEIRO
0,3,masculino,,0,0,7.8958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,21.0,0,1,77.2875,S,Primeira,homem,VERDADEIRO,D,Southampton,nao,FALSO
0,3,masculino,33.0,0,0,8.6542,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,37.0,2,0,7925,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,28.0,0,0,7.8958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,3,feminino,21.0,0,0,7.65,S,Terceira,mulher,FALSO,,Southampton,sim,VERDADEIRO
1,3,masculino,,0,0,7775,S,Terceira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
0,3,masculino,38.0,0,0,7.8958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,3,feminino,,1,0,24.15,Q,Terceira,mulher,FALSO,,Queenstown,sim,FALSO
0,1,masculino,47.0,0,0,52.0,S,Primeira,homem,VERDADEIRO,C,Southampton,nao,VERDADEIRO
0,3,feminino,14.5,1,0,14.4542,C,Terceira,criança,FALSO,,Cherbourg,nao,FALSO
0,3,masculino,22.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,feminino,20.0,1,0,9825,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
0,3,feminino,17.0,0,0,14.4583,C,Terceira,mulher,FALSO,,Cherbourg,nao,VERDADEIRO
0,3,masculino,21.0,0,0,7925,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,70.5,0,0,7.75,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,VERDADEIRO
0,2,masculino,29.0,1,0,21.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,FALSO
0,1,masculino,24.0,0,1,247.5208,C,Primeira,homem,VERDADEIRO,B,Cherbourg,nao,FALSO
0,3,feminino,2.0,4,2,31275,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
0,2,masculino,21.0,2,0,73.5,S,Segunda,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,2,masculino,32.5,1,0,30.0708,C,Segunda,homem,VERDADEIRO,,Cherbourg,nao,FALSO
1,2,feminino,32.5,0,0,13.0,S,Segunda,mulher,FALSO,E,Southampton,sim,VERDADEIRO
0,1,masculino,54.0,0,1,77.2875,S,Primeira,homem,VERDADEIRO,D,Southampton,nao,FALSO
1,3,masculino,12.0,1,0,11.2417,C,Terceira,criança,FALSO,,Cherbourg,sim,FALSO
0,3,masculino,,0,0,7.75,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,VERDADEIRO
1,3,masculino,24.0,0,0,7.1417,S,Terceira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
1,3,feminino,,1,1,22.3583,C,Terceira,mulher,FALSO,F,Cherbourg,sim,FALSO
0,3,masculino,45.0,0,0,6975,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,33.0,0,0,7.8958,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
0,3,masculino,20.0,0,0,7.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,feminino,47.0,1,0,14.5,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
1,2,feminino,29.0,1,0,26.0,S,Segunda,mulher,FALSO,,Southampton,sim,FALSO
0,2,masculino,25.0,0,0,13.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,2,masculino,23.0,0,0,15.0458,C,Segunda,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
1,1,feminino,19.0,0,2,26.2833,S,Primeira,mulher,FALSO,D,Southampton,sim,FALSO
0,1,masculino,37.0,1,0,53.1,S,Primeira,homem,VERDADEIRO,C,Southampton,nao,FALSO
0,3,masculino,16.0,0,0,9.2167,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,24.0,0,0,79.2,C,Primeira,homem,VERDADEIRO,B,Cherbourg,nao,VERDADEIRO
0,3,feminino,,0,2,15.2458,C,Terceira,mulher,FALSO,,Cherbourg,nao,FALSO
1,3,feminino,22.0,0,0,7.75,S,Terceira,mulher,FALSO,,Southampton,sim,VERDADEIRO
1,3,feminino,24.0,1,0,15.85,S,Terceira,mulher,FALSO,,Southampton,sim,FALSO
0,3,masculino,19.0,0,0,6.75,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,VERDADEIRO
0,2,masculino,18.0,0,0,11.5,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,2,masculino,19.0,1,1,36.75,S,Segunda,homem,VERDADEIRO,,Southampton,nao,FALSO
1,3,masculino,27.0,0,0,7.7958,S,Terceira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
0,3,feminino,9.0,2,2,34375,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
0,2,masculino,36.5,0,2,26.0,S,Segunda,homem,VERDADEIRO,F,Southampton,nao,FALSO
0,2,masculino,42.0,0,0,13.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,2,masculino,51.0,0,0,12525,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,1,feminino,22.0,1,0,66.6,S,Primeira,mulher,FALSO,C,Southampton,sim,FALSO
0,3,masculino,55.5,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,40.5,0,2,14.5,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,,0,0,7.3125,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,51.0,0,1,61.3792,C,Primeira,homem,VERDADEIRO,,Cherbourg,nao,FALSO
1,3,feminino,16.0,0,0,7.7333,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
0,3,masculino,30.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,0,0,8.6625,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,8,2,69.55,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,44.0,0,1,16.1,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
1,2,feminino,40.0,0,0,15.75,S,Segunda,mulher,FALSO,,Southampton,sim,VERDADEIRO
0,3,masculino,26.0,0,0,7775,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,17.0,0,0,8.6625,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,1.0,4,1,39.6875,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
1,3,masculino,9.0,0,2,20525,S,Terceira,criança,FALSO,,Southampton,sim,FALSO
1,1,feminino,,0,1,55.0,S,Primeira,mulher,FALSO,E,Southampton,sim,FALSO
0,3,feminino,45.0,1,4,27.9,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
0,1,masculino,,0,0,25925,S,Primeira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,28.0,0,0,56.4958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,61.0,0,0,33.5,S,Primeira,homem,VERDADEIRO,B,Southampton,nao,VERDADEIRO
0,3,masculino,4.0,4,1,29125,Q,Terceira,criança,FALSO,,Queenstown,nao,FALSO
1,3,feminino,1.0,1,1,11.1333,S,Terceira,criança,FALSO,,Southampton,sim,FALSO
0,3,masculino,21.0,0,0,7925,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,1,masculino,56.0,0,0,30.6958,C,Primeira,homem,VERDADEIRO,A,Cherbourg,nao,VERDADEIRO
0,3,masculino,18.0,1,1,7.8542,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,,3,1,25.4667,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,1,feminino,50.0,0,0,28.7125,C,Primeira,mulher,FALSO,C,Cherbourg,nao,VERDADEIRO
0,2,masculino,30.0,0,0,13.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,36.0,0,0,0.0,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,feminino,,8,2,69.55,S,Terceira,mulher,FALSO,,Southampton,nao,FALSO
0,2,masculino,,0,0,15.05,C,Segunda,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
0,3,masculino,9.0,4,2,31.3875,S,Terceira,criança,FALSO,,Southampton,nao,FALSO
1,2,masculino,1.0,2,1,39.0,S,Segunda,criança,FALSO,F,Southampton,sim,FALSO
1,3,feminino,4.0,0,2,22025,S,Terceira,criança,FALSO,,Southampton,sim,FALSO
0,1,masculino,,0,0,50.0,S,Primeira,homem,VERDADEIRO,A,Southampton,nao,VERDADEIRO
1,3,feminino,,1,0,15.5,Q,Terceira,mulher,FALSO,,Queenstown,sim,FALSO
1,1,masculino,45.0,0,0,26.55,S,Primeira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
0,3,masculino,40.0,1,1,15.5,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,FALSO
0,3,masculino,36.0,0,0,7.8958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,2,feminino,32.0,0,0,13.0,S,Segunda,mulher,FALSO,,Southampton,sim,VERDADEIRO
0,2,masculino,19.0,0,0,13.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,3,feminino,19.0,1,0,7.8542,S,Terceira,mulher,FALSO,,Southampton,sim,FALSO
1,2,masculino,3.0,1,1,26.0,S,Segunda,criança,FALSO,F,Southampton,sim,FALSO
1,1,feminino,44.0,0,0,27.7208,C,Primeira,mulher,FALSO,B,Cherbourg,sim,VERDADEIRO
1,1,feminino,58.0,0,0,146.5208,C,Primeira,mulher,FALSO,B,Cherbourg,sim,VERDADEIRO
0,3,masculino,,0,0,7.75,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,VERDADEIRO
0,3,masculino,42.0,0,1,8.4042,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
1,3,feminino,,0,0,7.75,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
0,2,feminino,24.0,0,0,13.0,S,Segunda,mulher,FALSO,,Southampton,nao,VERDADEIRO
0,3,masculino,28.0,0,0,9.5,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,8,2,69.55,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
0,3,masculino,34.0,0,0,6.4958,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,45.5,0,0,7225,C,Terceira,homem,VERDADEIRO,,Cherbourg,nao,VERDADEIRO
1,3,masculino,18.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
0,3,feminino,2.0,0,1,10.4625,S,Terceira,criança,FALSO,G,Southampton,nao,FALSO
0,3,masculino,32.0,1,0,15.85,S,Terceira,homem,VERDADEIRO,,Southampton,nao,FALSO
1,3,masculino,26.0,0,0,18.7875,C,Terceira,homem,VERDADEIRO,,Cherbourg,sim,VERDADEIRO
1,3,feminino,16.0,0,0,7.75,Q,Terceira,mulher,FALSO,,Queenstown,sim,VERDADEIRO
1,1,masculino,40.0,0,0,31.0,C,Primeira,homem,VERDADEIRO,A,Cherbourg,sim,VERDADEIRO
0,3,masculino,24.0,0,0,7.05,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,2,feminino,35.0,0,0,21.0,S,Segunda,mulher,FALSO,,Southampton,sim,VERDADEIRO
0,3,masculino,22.0,0,0,7.25,S,Terceira,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,2,masculino,30.0,0,0,13.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
0,3,masculino,,1,0,7.75,Q,Terceira,homem,VERDADEIRO,,Queenstown,nao,FALSO
1,1,feminino,31.0,1,0,113275,C,Primeira,mulher,FALSO,D,Cherbourg,sim,FALSO
1,3,feminino,27.0,0,0,7925,S,Terceira,mulher,FALSO,,Southampton,sim,VERDADEIRO
0,2,masculino,42.0,1,0,27.0,S,Segunda,homem,VERDADEIRO,,Southampton,nao,FALSO
1,1,feminino,32.0,0,0,76.2917,C,Primeira,mulher,FALSO,D,Cherbourg,sim,VERDADEIRO
0,2,masculino,30.0,0,0,10.5,S,Segunda,homem,VERDADEIRO,,Southampton,nao,VERDADEIRO
1,3,masculino,16.0,0,0,8.05,S,Terceira,homem,VERDADEIRO,,Southampton,sim,VERDADEIRO
